Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,IsArrDelayed,IsDepDelayed
1987,10,14,3,741.0,730,912.0,849,PS,1451,,91.0,79.0,,23.0,11.0,SAN,SFO,447.0,,,0,,0,,,,,,YES,YES
1987,10,15,4,729.0,730,903.0,849,PS,1451,,94.0,79.0,,14.0,-1.0,SAN,SFO,447.0,,,0,,0,,,,,,YES,NO
1987,10,17,6,741.0,730,918.0,849,PS,1451,,97.0,79.0,,29.0,11.0,SAN,SFO,447.0,,,0,,0,,,,,,YES,YES
1987,10,18,7,729.0,730,847.0,849,PS,1451,,78.0,79.0,,-2.0,-1.0,SAN,SFO,447.0,,,0,,0,,,,,,NO,NO
1987,10,19,1,749.0,730,922.0,849,PS,1451,,93.0,79.0,,33.0,19.0,SAN,SFO,447.0,,,0,,0,,,,,,YES,YES
1987,10,21,3,728.0,730,848.0,849,PS,1451,,80.0,79.0,,-1.0,-2.0,SAN,SFO,447.0,,,0,,0,,,,,,NO,NO
1987,10,22,4,728.0,730,852.0,849,PS,1451,,84.0,79.0,,3.0,-2.0,SAN,SFO,447.0,,,0,,0,,,,,,YES,NO
1987,10,23,5,731.0,730,902.0,849,PS,1451,,91.0,79.0,,13.0,1.0,SAN,SFO,447.0,,,0,,0,,,,,,YES,YES
1987,10,24,6,744.0,730,908.0,849,PS,1451,,84.0,79.0,,19.0,14.0,SAN,SFO,447.0,,,0,,0,,,,,,YES,YES
1987,10,25,7,729.0,730,851.0,849,PS,1451,,82.0,79.0,,2.0,-1.0,SAN,SFO,447.0,,,0,,0,,,,,,YES,NO
1987,10,26,1,735.0,730,904.0,849,PS,1451,,89.0,79.0,,15.0,5.0,SAN,SFO,447.0,,,0,,0,,,,,,YES,YES
